start_date,end_date,one_star,two_star,three_star,four_star,five_star,average_rating,total_ratings,new_one_star,new_two_star,new_three_star,new_four_star,new_five_star,new_average_rating,new_total_ratings,positive,negative,neutral,new_postive,new_negative,new_neutral
2013-07-01,2013-07-07,32,5,22,105,1942,4.86,2106,0,0,0,0,0,0.0,0,2047,37,22,0,0,0
2013-07-08,2013-07-14,32,5,22,105,1942,4.86,2106,0,0,0,0,0,0.0,0,2047,37,22,0,0,0
2013-07-15,2013-07-21,32,5,22,105,1942,4.86,2106,0,0,0,0,0,0.0,0,2047,37,22,0,0,0
2013-07-22,2013-07-28,32,5,22,105,1942,4.86,2106,0,0,0,0,0,0.0,0,2047,37,22,0,0,0
2013-07-29,2013-08-04,32,5,22,105,1942,4.86,2106,0,0,0,0,0,0.0,0,2047,37,22,0,0,0
2013-08-05,2013-08-11,58,11,41,183,3036,4.84,3329,26,6,19,78,1094,4.81,1223,3219,69,41,1172,32,19
2013-08-12,2013-08-18,61,12,44,194,3176,4.84,3487,3,1,3,11,140,4.80,158,3370,73,44,151,4,3
2013-08-19,2013-08-25,61,12,44,194,3176,4.84,3487,0,0,0,0,0,0.0,0,3370,73,44,0,0,0
2013-08-26,2013-09-01,61,12,44,194,3176,4.84,3487,0,0,0,0,0,0.0,0,3370,73,44,0,0,0
2013-09-02,2013-09-08,61,12,44,194,3176,4.84,3487,0,0,0,0,0,0.0,0,3370,73,44,0,0,0
2013-09-09,2013-09-15,61,12,44,194,3176,4.84,3487,0,0,0,0,0,0.0,0,3370,73,44,0,0,0
2013-09-16,2013-09-22,61,12,44,194,3176,4.84,3487,0,0,0,0,0,0.0,0,3370,73,44,0,0,0
2013-09-23,2013-09-29,61,12,44,194,3176,4.84,3487,0,0,0,0,0,0.0,0,3370,73,44,0,0,0
2013-09-30,2013-10-06,61,12,44,194,3176,4.84,3487,0,0,0,0,0,0.0,0,3370,73,44,0,0,0
2013-10-07,2013-10-13,4,3,7,45,657,4.88,716,-57,-9,-37,-149,-2519,0.0,-2771,702,7,7,-2668,-66,-37
2013-10-14,2013-10-20,5,3,10,50,737,4.88,805,1,0,3,5,80,4.83,89,787,8,10,85,1,3
2013-10-21,2013-10-27,7,3,12,54,780,4.87,856,2,0,2,4,43,4.69,51,834,10,12,47,2,2
2013-10-28,2013-11-03,7,2,14,38,496,4.82,557,0,-1,2,-16,-284,3.00,-299,534,9,14,-300,-1,2
2013-11-04,2013-11-10,5,2,10,33,445,4.84,495,-2,0,-4,-5,-51,0.0,-62,478,7,10,-56,-2,-4
2013-11-11,2013-11-17,5,2,11,46,528,4.84,592,0,0,1,13,83,4.85,97,574,7,11,96,0,1
2013-11-18,2013-11-24,7,3,11,53,587,4.83,661,2,1,0,7,59,4.74,69,640,10,11,66,3,0
2013-11-25,2013-12-01,8,4,12,54,651,4.83,729,1,1,1,1,64,4.85,68,705,12,12,65,2,1
2013-12-02,2013-12-08,8,5,14,59,715,4.83,801,0,1,2,5,64,4.83,72,774,13,14,69,1,2
2013-12-09,2013-12-15,9,6,18,66,766,4.82,865,1,1,4,7,51,4.66,64,832,15,18,58,2,4
2013-12-16,2013-12-22,8,2,12,33,460,4.82,515,-1,-4,-6,-33,-306,0.0,-350,493,10,12,-339,-5,-6
2013-12-23,2013-12-29,12,5,15,35,471,4.76,538,4,3,3,2,11,3.57,23,506,17,15,13,7,3
2013-12-30,2014-01-05,9,3,8,28,416,4.81,464,-3,-2,-7,-7,-55,0.0,-74,444,12,8,-62,-5,-7
2014-01-06,2014-01-12,6,2,10,31,460,4.84,509,-3,-1,2,3,44,4.86,45,491,8,10,47,-4,2
2014-01-13,2014-01-19,4,2,11,36,502,4.86,555,-2,0,1,5,42,4.85,46,538,6,11,47,-2,1
2014-01-20,2014-01-26,4,3,9,40,555,4.86,611,0,1,-2,4,53,4.88,56,595,7,9,57,1,-2
2014-01-27,2014-02-02,8,3,12,45,612,4.84,680,4,0,3,5,57,4.61,69,657,11,12,62,4,3
2014-02-03,2014-02-09,10,4,12,51,658,4.83,735,2,1,0,6,46,4.69,55,709,14,12,52,3,0
2014-02-10,2014-02-16,10,4,12,56,715,4.83,797,0,0,0,5,57,4.92,62,771,14,12,62,0,0
2014-02-17,2014-02-23,12,6,13,65,758,4.82,854,2,2,1,9,43,4.56,57,823,18,13,52,4,1
2014-02-24,2014-03-02,13,5,15,70,796,4.81,899,1,-1,2,5,38,4.72,45,866,18,15,43,0,2
2014-03-03,2014-03-09,14,5,15,74,800,4.81,908,1,0,0,4,4,4.11,9,874,19,15,8,1,0
2014-03-10,2014-03-16,15,6,14,79,832,4.80,946,1,1,-1,5,32,4.69,38,911,21,14,37,2,-1
2014-03-17,2014-03-23,15,8,15,86,888,4.80,1012,0,2,1,7,56,4.77,66,974,23,15,63,2,1
2014-03-24,2014-03-30,16,8,18,93,915,4.79,1050,1,0,3,7,27,4.55,38,1008,24,18,34,1,3
2014-03-31,2014-04-06,17,8,17,93,930,4.79,1065,1,0,-1,0,15,4.75,15,1023,25,17,15,1,-1
2014-04-07,2014-04-13,17,8,19,96,970,4.80,1110,0,0,2,3,40,4.84,45,1066,25,19,43,0,2
2014-04-14,2014-04-20,17,8,19,98,979,4.80,1121,0,0,0,2,9,4.82,11,1077,25,19,11,0,0
2014-04-21,2014-04-27,18,8,20,100,998,4.79,1144,1,0,1,2,19,4.65,23,1098,26,20,21,1,1
2014-04-28,2014-05-04,18,8,20,105,1027,4.80,1178,0,0,0,5,29,4.85,34,1132,26,20,34,0,0
2014-05-05,2014-05-11,18,8,21,107,1060,4.80,1214,0,0,1,2,33,4.89,36,1167,26,21,35,0,1
2014-05-12,2014-05-18,18,9,21,112,1083,4.80,1243,0,1,0,5,23,4.72,29,1195,27,21,28,1,0
2014-05-19,2014-05-25,18,10,22,113,1104,4.80,1267,0,1,1,1,21,4.75,24,1217,28,22,22,1,1
2014-05-26,2014-06-01,20,11,23,112,1140,4.79,1306,2,1,1,-1,36,4.68,39,1252,31,23,35,3,1
2014-06-02,2014-06-08,20,11,24,118,1168,4.79,1341,0,0,1,6,28,4.77,35,1286,31,24,34,0,1
2014-06-09,2014-06-15,21,12,26,123,1169,4.78,1351,1,1,2,5,1,3.40,10,1292,33,26,6,2,2
2014-06-16,2014-06-22,21,12,28,126,1211,4.78,1398,0,0,2,3,42,4.85,47,1337,33,28,45,0,2
2014-06-23,2014-06-29,22,14,30,133,1236,4.77,1435,1,2,2,7,25,4.43,37,1369,36,30,32,3,2
2014-06-30,2014-07-06,23,13,31,140,1264,4.77,1471,1,-1,1,7,28,4.65,36,1404,36,31,35,0,1
2014-07-07,2014-07-13,23,13,32,139,1288,4.78,1495,0,0,1,-1,24,4.92,24,1427,36,32,23,0,1
2014-07-14,2014-07-20,23,13,33,142,1311,4.78,1522,0,0,1,3,23,4.81,27,1453,36,33,26,0,1
2014-07-21,2014-07-27,24,13,38,150,1331,4.77,1556,1,0,5,8,20,4.35,34,1481,37,38,28,1,5
2014-07-28,2014-08-03,12,4,10,57,586,4.80,669,-12,-9,-28,-93,-745,0.0,-887,643,16,10,-838,-21,-28
2014-08-04,2014-08-10,12,4,8,54,495,4.77,573,0,0,-2,-3,-91,0.0,-96,549,16,8,-94,0,-2
2014-08-11,2014-08-17,12,3,5,48,428,4.77,496,0,-1,-3,-6,-67,0.0,-77,476,15,5,-73,-1,-3
